Chapter,QuestionID,AnswerNumber,QuestionText,AnswerText,CorrectFlag
1a,1110,2,Le classi di pericolo dell'ADR:,Sono una suddivisione delle materie pericolose,V
1a,1110,3,Le classi di pericolo dell'ADR:,"Sono dei gruppi di materie che presentano, in linea generale, lo stesso pericolo principale",V
1a,1110,4,Le classi di pericolo dell'ADR:,Sono stabilite con criteri differenti in ogni paese e variano da una nazione all'altra,F
1a,1110,5,Le classi di pericolo dell'ADR:,"Sono una ripartizione delle materie pericolose, secondo il tipo di pericolo che esse rappresentano",V
1a,1110,6,Le classi di pericolo dell'ADR:,Indicano i diversi mezzi di trasporto utilizzati per le merci pericolose,F
1a,1111,1,Quante sono le classi di pericolo dell'ADR?,8,F
1a,1111,2,Quante sono le classi di pericolo dell'ADR?,13,V
1a,1111,3,Quante sono le classi di pericolo dell'ADR?,11,F
1a,1111,4,Quante sono le classi di pericolo dell'ADR?,14,F
1a,1111,5,Quante sono le classi di pericolo dell'ADR?,9,F
1a,1112,1,Quali classi di pericolo ADR sono trasportabili in colli?,Tutte,V
1a,1112,2,Quali classi di pericolo ADR sono trasportabili in colli?,Solo la 1-2-7,F
1a,1112,3,Quali classi di pericolo ADR sono trasportabili in colli?,Tutte eccetto la 6.2,F
1a,1112,4,Quali classi di pericolo ADR sono trasportabili in colli?,Sono la 2-3-4.1-4.2-4.3-5.1-5.2-6.1-6.2-8-9,F
1a,1112,5,Quali classi di pericolo ADR sono trasportabili in colli?,Sono la 1-2-3-4.1-4.2-4.3-5.1-5.2-6.1-6.2-7-8-9,V
1a,1113,1,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:","In cisterna, su strada",V
1a,1113,2,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:","In colli, su strada",V
1a,1113,3,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:",Su nave,F
1a,1113,4,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:","Alla rinfusa, su strada",V
1a,1113,5,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:",Per via aerea,F
1a,1113,6,"Le modalità di trasporto delle merci pericolose, disciplinate in modo specifico dall’ADR sono:",Per ferrovia,F
1a,1114,1,Cosa s'intende per trasporto in colli?,Il trasporto delle materie in imballaggi costruiti nel rispetto delle norme ADR,V
1a,1114,2,Cosa s'intende per trasporto in colli?,Il trasporto di materie pericolose in “contenitori intermedi per il trasporto alla rinfusa” (IBC),V
1a,1114,3,Cosa s'intende per trasporto in colli?,Il trasporto delle materie in imballaggi esclusivamente metallici,F
1a,1114,4,Cosa s'intende per trasporto in colli?,Il trasporto delle materie solide senza imballaggio,F
1a,1114,5,Cosa s'intende per trasporto in colli?,Il trasporto di gas in bombole,V
1a,1114,6,Cosa s'intende per trasporto in colli?,Il trasporto in autocisterne di capacità superiore a 1.000 litri,F
1a,1115,1,Cosa s'intende per trasporto in cisterna?,"Il trasporto di materie liquide in uno o più serbatoi (fissati ai veicoli), aventi capacità maggiore di 1.000 litri",V
1a,1115,2,Cosa s'intende per trasporto in cisterna?,"Il trasporto di gas in uno o più serbatoi fissati ai veicoli, aventi capacità maggiore di 1.000 litri",V
1a,1115,3,Cosa s'intende per trasporto in cisterna?,Il trasporto di materie solide o liquide in contenitori intermedi per il trasporto alla rinfusa (IBC) aventi capacità superiore a 450 litri,F
1a,1115,4,Cosa s'intende per trasporto in cisterna?,"Il trasporto di materie solide, liquide o gassose in cisterne fisse o amovibili, tutte aventi capacità superiore a 10.000 litri",F
1a,1115,5,Cosa s'intende per trasporto in cisterna?,S'intende esclusivamente il trasporto di liquidi infiammabili,F
1a,1115,6,Cosa s'intende per trasporto in cisterna?,"S'intende, ad esempio, il trasporto di carburanti in uno o più serbatoi (fissati in modo stabile ai veicoli), aventi capacità maggiore di 1.000 litri",V
1a,1116,1,Cosa s'intende per trasporto alla rinfusa?,Il trasporto di una materia solida senza imballaggio,V
1a,1116,2,Cosa s'intende per trasporto alla rinfusa?,Il trasporto di una materia sfusa all'interno di un cassone ribaltabile,V
1a,1116,3,Cosa s'intende per trasporto alla rinfusa?,Il trasporto di materie polverulente o granulari in un cassone ribaltabile coperto con un telone,V
1a,1116,4,Cosa s'intende per trasporto alla rinfusa?,Il trasporto di due o più colli caricati in maniera disordinata,F
1a,1116,5,Cosa s'intende per trasporto alla rinfusa?,Il trasporto simultaneo di materie contenute in imballaggi e cisterne,F
1a,1116,6,Cosa s'intende per trasporto alla rinfusa?,Il trasporto di merci pericolose in colli privi di etichette,F
1a,1117,1,Le esenzioni previste dall'ADR:,Possono riguardare il trasporto di merci pericolose imballate in quantità limitate per singolo collo,V
1a,1117,2,Le esenzioni previste dall'ADR:,Possono riguardare il trasporto di merci pericolose in quantità limitate per unità di trasporto,V
1a,1117,3,Le esenzioni previste dall'ADR:,Sono applicabili se gli imballaggi che contengono le merci pericolose rispettano determinate disposizioni dell'ADR,V
1a,1117,4,Le esenzioni previste dall'ADR:,Si applicano anche al trasporto in cisterna,F
1a,1117,5,Le esenzioni previste dall'ADR:,"Prevedono che tutti i veicoli, compresi i veicoli cisterna, possano trasportare merci pericolose in quantità limitata, ossia senza rispettare l'ADR",F
1a,1117,6,Le esenzioni previste dall'ADR:,Sono applicabili solo per il trasporto alla rinfusa,F
1a,1117,7,Le esenzioni previste dall'ADR:,Possono riguardare il trasporto di merci pericolose imballate in quantità esenti per singolo collo,V
1a,1118,1,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,È corretto che ciascun collo rechi il marchio che compare nella figura n. 42,V
1a,1118,2,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,Il documento di trasporto deve comprendere le parole “IN QUANTITÀ LIMITATA”,F
1a,1118,3,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,Il conducente è esentato dal conseguimento del CFP ADR,V
1a,1118,4,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,Ciascun collo deve portare la/le etichetta/e di pericolo,F
1a,1118,5,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,Le istruzioni scritte devono trovarsi a bordo del veicolo,F
1a,1118,6,Durante il trasporto in regime di esenzione ADR per materie imballate in QUANTITA' LIMITATE per unità di collo:,I veicoli devono essere equipaggiati con estintori contro gli incendi,F
1a,1119,1,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Si può applicare al trasporto di merci pericolose in colli quando non si superano le quantità previste dall’ADR,V
1a,1119,2,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Consente il trasporto di determinate quantità di merci pericolose in colli senza che siano applicate alcune disposizioni dell'ADR,V
1a,1119,3,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Permette la guida da parte di conducenti che non hanno conseguito il certificato di formazione professionale ADR,V
1a,1119,4,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Riguarda il trasporto di determinate materie pericolose fino alla quantità massima (in genere) di 5.000 kg,F
1a,1119,5,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Riguarda esclusivamente il trasporto in cisterna,F
1a,1119,6,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,"Si riferisce a tutti i modi di trasporto (cisterna, colli, alla rinfusa)",F
1a,1119,7,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Riguarda esclusivamente il trasporto alla rinfusa,F
1a,1119,8,Nel caso di trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Riguarda solamente il trasporto di bombole di capacità inferiore a 100 litri,F
1a,1120,1,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Ciascun collo deve portare la/le etichetta/e di pericolo e il n. ONU che identifica la merce pericolosa,V
1a,1120,2,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Il veicolo deve essere munito di almeno 1 estintore di incendio della capacità minima di 2 kg,V
1a,1120,3,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Il conducente può essere sprovvisto del certificato di formazione professionale ADR,V
1a,1120,4,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Le istruzioni scritte devono trovarsi a bordo del veicolo,F
1a,1120,5,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Il conducente deve avere il certificato di formazione professionale ADR,F
1a,1120,6,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,I veicoli devono portare i pannelli di segnalazione arancio regolamentari,F
1a,1120,7,Nel caso di il trasporto in regime di esenzione 1.1.3.6 ADR (nota come esenzione parziale)  per materie trasportate in quantità limitate per unità di trasporto:,Il veicolo deve essere munito di almeno 2 estintori di incendio (1 di 2 kg e 1 di 6 kg),F
1a,1121,1,Il certificato di formazione professionale ADR:,È richiesto per guidare autoveicoli trasportanti merci pericolose in tutti gli Stati firmatari dell'Accordo ADR,V
1a,1121,2,Il certificato di formazione professionale ADR:,È riconosciuto da tutti gli Stati dell'Unione Europea,V
1a,1121,3,Il certificato di formazione professionale ADR:,"È obbligatorio per guidare autoveicoli trasportanti merci pericolose in Italia, tranne i casi di esenzione",V
1a,1121,4,Il certificato di formazione professionale ADR:,"È richiesto per guidare autoveicoli trasportanti merci pericolose solo nel territorio italiano, ma non è richiesto per nessun trasporto internazionale",F
1a,1121,5,Il certificato di formazione professionale ADR:,Abilita alla guida dei veicoli trasportanti merci pericolose solo all'estero e non vale in Italia,F
1a,1121,6,Il certificato di formazione professionale ADR:,Non è richiesto se si trasportano merci appartenenti alla classe 9,F
1a,1122,1,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?",Il mittente o speditore al quale spetta la predisposizione del carico e della relativa documentazione,V
1a,1122,2,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?","Il trasportatore, che fornisce il veicolo idoneo e il conducente in possesso delle prescritte abilitazioni",V
1a,1122,3,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?","Il conducente, in possesso del CFP ADR prescritto per la merce e per la modalità di trasporto richiesta",V
1a,1122,4,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?","La Motorizzazione Civile del paese di origine del veicolo, che deve autorizzare ogni singolo trasporto",F
1a,1122,5,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?","La Polizia Stradale, che scorta il trasporto di qualunque classe ADR",F
1a,1122,6,"Quali operatori, ovvero quali soggetti, si occupano dell’effettuazione di un trasporto ADR?","I Vigili del Fuoco, che devono approvare le istruzioni scritte delle materie ADR trasportate",F
1a,1123,1,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,Pericoli per la salute e la vita degli uomini e animali,V
1a,1123,2,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,Danni a beni della comunità quali la contaminazione dell'acqua,V
1a,1123,3,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,Danno da infezione,V
1a,1123,4,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,"Nessuno, perché i veicoli devono viaggiare a velocità ridotta",F
1a,1123,5,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,"Danni ridotti al terreno e all'acqua, perché le materie pericolose sono facilmente recuperabili",F
1a,1123,6,Quali pericoli o danni possono derivare dal trasporto di merci pericolose su strada?,Pericoli minimi di emissioni tossiche-nocive perché è praticamente impossibile che si verifichino dispersioni o perdite,F
1a,1124,1,Quale è l'obiettivo della regolamentazione ADR?,Consentire il trasporto di merci pericolose a determinate condizioni di sicurezza,V
1a,1124,2,Quale è l'obiettivo della regolamentazione ADR?,Favorire il trasporto di merci pericolose su strada nel rispetto della sicurezza,V
1a,1124,3,Quale è l'obiettivo della regolamentazione ADR?,Rendere uniformi le norme del trasporto internazionale di merci pericolose su strada,V
1a,1124,4,Quale è l'obiettivo della regolamentazione ADR?,Vietare i trasporti di merce pericolosa su strada,F
1a,1124,5,Quale è l'obiettivo della regolamentazione ADR?,Diminuire i costi delle imprese che trasportano merci pericolose su strada,F
1a,1124,6,Quale è l'obiettivo della regolamentazione ADR?,"Far diminuire il trasporto di merci pericolose su strada, a favore della ferrovia",F
1a,1125,1,Per quali tipi di trasporto valgono le disposizioni ADR?,Per i trasporti su strada,V
1a,1125,2,Per quali tipi di trasporto valgono le disposizioni ADR?,Per i trasporti su rotaia,F
1a,1125,3,Per quali tipi di trasporto valgono le disposizioni ADR?,Per i trasporti via mare,F
1a,1125,4,Per quali tipi di trasporto valgono le disposizioni ADR?,Solo per i trasporti fluviali internazionali,F
1a,1125,5,Per quali tipi di trasporto valgono le disposizioni ADR?,Anche per i trasporti intermodali che prevedono tratti del percorso su strada,V
1a,1125,6,Per quali tipi di trasporto valgono le disposizioni ADR?,Per i trasporti aerei,F
1a,1126,1,Durante il trasporto di merci pericolose imballate in quantità esenti:,Il conducente è esentato dal conseguimento del CFP ADR,V
1a,1126,2,Durante il trasporto di merci pericolose imballate in quantità esenti:,Ciascun collo deve portare il marchio riportato nella figura n. 38,V
1a,1126,3,Durante il trasporto di merci pericolose imballate in quantità esenti:,I veicoli devono essere equipaggiati con estintori contro gli incendi,F
1a,1126,4,Durante il trasporto di merci pericolose imballate in quantità esenti:,Ogni collo deve avere un peso lordo di almeno 1.000 kg,F
1a,1126,5,Durante il trasporto di merci pericolose imballate in quantità esenti:,I colli devono riportare le etichette di pericolo ADR,F
1a,1126,6,Durante il trasporto di merci pericolose imballate in quantità esenti:,Il veicolo deve essere munito di pannelli di segnalazione arancio,F
1a,1126,7,Durante il trasporto di merci pericolose imballate in quantità esenti:,Sul veicolo o nel container non possono essere caricati più di 1.000 colli in quantità esenti,V
1b,,1,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",La Polizia Stradale,V
1b,,2,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",La Camera di Commercio,F
1b,,3,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",I Vigili del Fuoco,F
1b,,4,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",Il Consulente per la sicurezza dei trasporti,F
1b,,5,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",I Carabinieri,V
1b,,6,"In Italia, chi effettua il controllo su strada del rispetto delle norme ADR?",La polizia locale,V
1b,1202,1,Da chi viene rilasciato il certificato di formazione professionale ADR?,Dall'Ufficio Motorizzazione Civile del Dipartimento Trasporti Terrestri,V
1b,1202,2,Da chi viene rilasciato il certificato di formazione professionale ADR?,Dalle unità sanitarie locali,F
1b,1202,3,Da chi viene rilasciato il certificato di formazione professionale ADR?,Dalle Prefetture,F
1b,1202,4,Da chi viene rilasciato il certificato di formazione professionale ADR?,Dalla Questura,F
1b,1202,5,Da chi viene rilasciato il certificato di formazione professionale ADR?,Dalle autorità competenti dei Paesi firmatari dell'Accordo ADR,V
1b,1203,1,Chi è responsabile della corretta compilazione del documento di trasporto?,"Il caricatore, se è anche speditore",V
1b,1203,2,Chi è responsabile della corretta compilazione del documento di trasporto?,Il mittente o speditore,V
1b,1203,3,Chi è responsabile della corretta compilazione del documento di trasporto?,Lo speditore,V
1b,1203,4,Chi è responsabile della corretta compilazione del documento di trasporto?,Il destinatario della merce,F
1b,1203,5,Chi è responsabile della corretta compilazione del documento di trasporto?,Il trasportatore,F
1b,1203,6,Chi è responsabile della corretta compilazione del documento di trasporto?,Il conducente,F
1b,1204,1,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:",La patente di guida,V
1b,1204,2,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:",La carta di circolazione del veicolo,V
1b,1204,3,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:","Il CFP ADR, salvi i casi di esenzione",V
1b,1204,4,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:",Le carte di credito per l'acquisto del carburante,F
1b,1204,5,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:",Il libretto di uso e manutenzione del veicolo,F
1b,1204,6,"I documenti di bordo obbligatori ai fini del trasporto di merci pericolose in campo nazionale comprendono, tra gli altri:",La fattura di acquisto del veicolo,F
1b,1205,1,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle strade urbane 50 km/h,V
1b,1205,2,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle strade extraurbane 80 km/h,V
1b,1205,3,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle autostrade 100 km/h,V
1b,1205,4,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle strade urbane 60 km/h,F
1b,1205,5,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle strade extraurbane 90 km/h,F
1b,1205,6,"Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 3,5 t e fino a 12 t?",Sulle autostrade 110 km/h,F
1b,1206,1,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle strade urbane 50 km/h,V
1b,1206,2,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle strade extraurbane 70 km/h,V
1b,1206,3,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle autostrade 80 km/h,V
1b,1206,4,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle autostrade 90 km/h,F
1b,1206,5,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle strade urbane 40 km/h,F
1b,1206,6,Quali sono i limiti massimi di velocità in Italia di un autoveicolo carico di merci ADR (esclusa la classe 1) di massa superiore a 12 t?,Sulle autostrade 30 km/h,F
1b,1207,1,I rifiuti liquidi pericolosi ADR spediti in colli devono essere trasportati:,Solo su autocarri privi di rimorchio,F
1b,1207,2,I rifiuti liquidi pericolosi ADR spediti in colli devono essere trasportati:,In colli confezionati in conformità alle disposizioni impartite dall'ADR,V
1b,1207,3,I rifiuti liquidi pericolosi ADR spediti in colli devono essere trasportati:,In veicoli muniti degli equipaggiamenti previsti dall'ADR,V
1b,1207,4,I rifiuti liquidi pericolosi ADR spediti in colli devono essere trasportati:,In veicoli muniti di apposita autorizzazione dell'Ufficio Periferico del Ministero delle Infrastrutture e dei Trasporti,F
1b,1207,5,I rifiuti liquidi pericolosi ADR spediti in colli devono essere trasportati:,Esclusivamente su cassone ribaltabile,F
2a,,1,"Dei seguenti, quale è considerato rischio principale della classe 1?",Esplosione,V
2a,,2,"Dei seguenti, quale è considerato rischio principale della classe 1?",Tossicità,F
2a,,3,"Dei seguenti, quale è considerato rischio principale della classe 1?",Corrosività,F
2a,,4,"Dei seguenti, quale è considerato rischio principale della classe 1?",Infettività,F
2a,,5,"Dei seguenti, quale è considerato rischio principale della classe 1?",Comburenza (favorisce l'incendio),F
2a,,6,"Dei seguenti, quale è considerato rischio principale della classe 1?",Deflagrazione,V
2a,2102,1,"Dei seguenti, quale è considerato il rischio principale della classe 2?",Pressione,V
2a,2102,2,"Dei seguenti, quale è considerato il rischio principale della classe 2?",La contaminazione dell'ambiente acquatico,F
2a,2102,3,"Dei seguenti, quale è considerato il rischio principale della classe 2?",Infettività,F
2a,2102,4,"Dei seguenti, quale è considerato il rischio principale della classe 2?",Radioattività,F
2a,2103,1,"Dei seguenti, quale è considerato rischio principale della classe 3?",Infiammabilità e/o esplosione,V
2a,2103,2,"Dei seguenti, quale è considerato rischio principale della classe 3?",Incendio,V
2a,2103,3,"Dei seguenti, quale è considerato rischio principale della classe 3?",Comburenza (favorisce l'incendio),F
2a,2103,4,"Dei seguenti, quale è considerato rischio principale della classe 3?",Corrosività,F
2a,2103,5,"Dei seguenti, quale è considerato rischio principale della classe 3?",Tossicità,F
2a,2103,6,"Dei seguenti, quale è considerato rischio principale della classe 3?",Combustione,V
2a,2104,1,"Dei seguenti, quale è considerato rischio principale della classe 4.1?",Infiammabilità e/o esplosione,V
2a,2104,2,"Dei seguenti, quale è considerato rischio principale della classe 4.1?",Corrosività,F
